DATE,DJUA
2013-03-01,493.6705263157894737
2013-04-01,522.1709090909090909
2013-05-01,510.9863636363636364
2013-06-01,481.0605000000000000
2013-07-01,496.7354545454545455
2013-08-01,490.3413636363636364
2013-09-01,480.6615000000000000
2013-10-01,492.2843478260869565
2013-11-01,499.5030000000000000
2013-12-01,485.4347619047619048
2014-01-01,491.8600000000000000
2014-02-01,512.9526315789473684
2014-03-01,519.7580952380952381
2014-04-01,540.6842857142857143
2014-05-01,539.9909523809523810
2014-06-01,555.9761904761904762
2014-07-01,557.5004545454545455
2014-08-01,547.2138095238095238
2014-09-01,555.3252380952380952
2014-10-01,569.2400000000000000
2014-11-01,596.4842105263157895
2014-12-01,609.7431818181818182
2015-01-01,634.5355000000000000
2015-02-01,610.4110526315789474
2015-03-01,582.6277272727272727
2015-04-01,589.7166666666666667
2015-05-01,584.4790000000000000
2015-06-01,564.1136363636363636
2015-07-01,570.7809090909090909
2015-08-01,587.0938095238095238
2015-09-01,558.0785714285714286
2015-10-01,587.9927272727272727
2015-11-01,566.8665000000000000
2015-12-01,567.6559090909090909
2016-01-01,585.1289473684210526
2016-02-01,621.8920000000000000
2016-03-01,649.2031818181818182
2016-04-01,655.3461904761904762
2016-05-01,657.6590476190476190
2016-06-01,682.6400000000000000
2016-07-01,712.8740000000000000
2016-08-01,686.1926086956521739
2016-09-01,676.4038095238095238
2016-10-01,654.5800000000000000
2016-11-01,642.6128571428571429
2016-12-01,650.0561904761904762
2017-01-01,658.2135000000000000
2017-02-01,673.9815789473684211
2017-03-01,696.7460869565217391
2017-04-01,703.8363157894736842
2017-05-01,705.4350000000000000
2017-06-01,726.4150000000000000
2017-07-01,711.9595000000000000
2017-08-01,738.1565217391304348
2017-09-01,736.9060000000000000
2017-10-01,740.9363636363636364
2017-11-01,760.1976190476190476
2017-12-01,742.2745000000000000
2018-01-01,694.2314285714285714
2018-02-01,670.9642105263157895
2018-03-01,679.0323809523809524
2018-04-01,693.3661904761904762
2018-05-01,687.0409090909090909
2018-06-01,683.9147619047619048
2018-07-01,719.5866666666666667
2018-08-01,729.2478260869565217
2018-09-01,729.1157894736842105
2018-10-01,734.2243478260869565
2018-11-01,730.9028571428571429
2018-12-01,734.4584210526315789
2019-01-01,708.5880952380952381
2019-02-01,741.2273684210526316
2019-03-01,773.2814285714285714
2019-04-01,776.6914285714285714
2019-05-01,784.6986363636363636
2019-06-01,810.0760000000000000
2019-07-01,820.0504545454545455
2019-08-01,829.5300000000000000
2019-09-01,859.4110000000000000
2019-10-01,867.3726086956521739
2019-11-01,847.9705000000000000
2019-12-01,863.5400000000000000
2020-01-01,901.5171428571428571
2020-02-01,929.6457894736842105
2020-03-01,776.3368181818181818
2020-04-01,784.1814285714285714
2020-05-01,764.6295000000000000
2020-06-01,796.7313636363636364
2020-07-01,806.8604545454545455
2020-08-01,820.2404761904761905
2020-09-01,804.6704761904761905
2020-10-01,870.5154545454545455
2020-11-01,888.5990000000000000
2020-12-01,856.5927272727272727
2021-01-01,853.3373684210526316
2021-02-01,850.2752631578947368
2021-03-01,843.7130434782608696
2021-04-01,907.2195238095238095
2021-05-01,904.5985000000000000
2021-06-01,896.7477272727272727
2021-07-01,900.2680952380952381
2021-08-01,932.8540909090909091
2021-09-01,913.7238095238095238
2021-10-01,899.6971428571428571
2021-11-01,914.0585714285714286
2021-12-01,945.8450000000000000
2022-01-01,950.4205000000000000
2022-02-01,929.1442105263157895
2022-03-01,991.6678260869565217
2022-04-01,1049.9235000000000000
2022-05-01,1001.8604761904761905
2022-06-01,961.5042857142857143
2022-07-01,969.6615000000000000
2022-08-01,1032.6460869565217391
2022-09-01,999.3157142857142857
2022-10-01,880.6209523809523810
2022-11-01,931.9919047619047619
2022-12-01,975.8371428571428571
2023-01-01,973.8890000000000000
2023-02-01,944.3736842105263158
